12 12
block 0 0
block 0 1
block 0 2
block 0 3
block 0 4
block 0 5
block 0 6
block 0 7
block 0 8
block 0 9
block 0 10
block 0 11
block 1 0
field 1 1
field 1 2
target 1 3
field 1 4
target 1 5
field 1 7
field 1 8
field 1 9
field 1 10
block 1 11
block 2 0
field 2 1
field 2 2
field 2 4
field 2 5
field 2 6
block 2 7
field 2 8
block 2 9
field 2 10
block 2 11
block 3 0
field 3 1
block 3 2
field 3 3
field 3 4
field 3 5
field 3 6
field 3 7
field 3 8
target 3 9
field 3 10
block 3 11
block 4 0
field 4 1
field 4 2
field 4 3
field 4 4
hole 4 5
field 4 6
field 4 7
field 4 8
field 4 9
field 4 10
block 4 11
block 5 0
field 5 1
field 5 3
field 5 4
field 5 5
field 5 6
field 5 7
block 5 8
field 5 9
field 5 10
block 5 11
block 6 0
hole 6 1
target 6 2
field 6 3
field 6 4
field 6 5
block 6 6
field 6 7
field 6 8
field 6 9
field 6 10
block 6 11
block 7 0
field 7 1
field 7 3
field 7 4
field 7 5
field 7 6
field 7 7
field 7 8
target 7 9
field 7 10
block 7 11
block 8 0
field 8 1
field 8 2
block 8 3
block 8 4
field 8 5
field 8 6
field 8 7
field 8 8
field 8 9
field 8 10
block 8 11
block 9 0
field 9 1
field 9 2
hole 9 3
block 9 4
field 9 5
block 9 6
block 9 7
field 9 8
field 9 9
field 9 10
block 9 11
block 10 0
field 10 1
field 10 2
field 10 3
field 10 4
field 10 5
field 10 6
field 10 7
field 10 8
field 10 9
field 10 10
block 10 11
block 11 0
block 11 1
block 11 2
block 11 3
block 11 4
block 11 5
block 11 6
block 11 7
block 11 8
block 11 9
block 11 10
block 11 11
worker 1 1 1
box 2 6
box 4 2
box 4 3
box 4 6
box 8 8
worker 10 10 2
switch 2 3 trap 1 6
switch 5 2 trap 7 2
